50:51.0,,
52:08.3,0:01:17,
52:40.9,0:00:33,
53:08.6,0:00:28,
53:13.6,0:00:05,
53:20.9,0:00:07,
53:25.4,0:00:05,
53:50.0,0:00:25,
53:54.4,0:00:04,
53:58.7,0:00:04,
54:03.0,0:00:04,
54:07.3,0:00:04,
54:11.7,0:00:04,
54:16.3,0:00:05,
54:20.9,0:00:05,
54:25.1,0:00:04,
54:52.9,0:00:28,
54:57.3,0:00:04,
55:01.6,0:00:04,
55:05.9,0:00:04,
55:10.1,0:00:04,
55:43.1,0:00:33,
55:47.3,0:00:04,
55:51.6,0:00:04,
55:56.0,0:00:04,
56:00.4,0:00:04,
56:04.9,0:00:05,
56:40.0,0:00:35,
56:44.4,0:00:04,
56:48.6,0:00:04,
56:53.4,0:00:05,
56:57.9,0:00:05,
57:02.2,0:00:04,
57:06.8,0:00:05,
57:11.3,0:00:05,
57:16.0,0:00:05,
57:20.3,0:00:04,
57:43.0,0:00:23,
57:48.0,0:00:05,
57:52.2,0:00:04,
57:57.4,0:00:05,
58:06.2,0:00:09,
58:10.8,0:00:05,
58:15.1,0:00:04,
58:19.2,0:00:04,
58:23.4,0:00:04,
58:27.7,0:00:04,
58:31.9,0:00:04,
58:36.8,0:00:05,
58:41.3,0:00:05,
58:45.8,0:00:04,
58:50.2,0:00:04,
59:15.1,0:00:25,
59:19.4,0:00:04,
59:23.5,0:00:04,
59:27.8,0:00:04,
59:32.0,0:00:04,
59:36.4,0:00:04,
59:40.7,0:00:04,
59:44.8,0:00:04,
00:07.5,0:00:23,
00:11.7,0:00:04,
00:15.7,0:00:04,
00:20.1,0:00:04,
00:25.2,0:00:05,
00:29.5,0:00:04,
00:34.5,0:00:05,
00:39.0,0:00:05,
00:44.0,0:00:05,
00:48.4,0:00:04,
00:52.7,0:00:04,
00:57.1,0:00:04,
01:01.3,0:00:04,
01:27.2,0:00:26,
01:31.4,0:00:04,
01:35.5,0:00:04,
01:39.9,0:00:04,
01:51.1,0:00:11,
01:55.4,0:00:04,
01:59.6,0:00:04,
02:04.0,0:00:04,
02:41.8,0:00:38,
02:46.1,0:00:04,
02:50.4,0:00:04,
02:54.7,0:00:04,
02:59.7,0:00:05,
03:04.1,0:00:04,
03:32.3,0:00:28,
03:36.7,0:00:04,
03:41.0,0:00:04,
03:45.4,0:00:04,
03:50.6,0:00:05,
03:55.4,0:00:05,
03:59.5,0:00:04,
04:03.9,0:00:04,
04:42.1,0:00:38,
04:46.6,0:00:04,
04:51.0,0:00:04,
